,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220408 - 041010
1,12320,CCS DC 150kW (ultra),2,4,20220408 - 041017
2,12949,CCS DC 150kW (ultra),16,16,20220408 - 041022
3,12950,CCS DC 150kW (ultra),7,8,20220408 - 041010
4,10000034,CCS DC 175kW (ultra),2,2,20220408 - 041015
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220408 - 041015
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220408 - 041015
7,10000035,CCS DC 270kW (ultra),6,7,20220408 - 041020
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220408 - 041020
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220408 - 041021
10,10000036,CCS DC 175kW (ultra),4,4,20220408 - 041011
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220408 - 041011
12,10000037,CCS DC 175kW (ultra),2,2,20220408 - 041016
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220408 - 041016
14,10000038,CCS DC 175kW (ultra),2,2,20220408 - 041021
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220408 - 041022
16,10000039,CCS DC 175kW (ultra),4,4,20220408 - 041010
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220408 - 041011
18,10000040,CCS DC 175kW (ultra),3,3,20220408 - 041017
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220408 - 041017
20,10000041,CCS DC 175kW (ultra),4,4,20220408 - 041025
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220408 - 041026
22,10000042,CCS DC 175kW (ultra),3,3,20220408 - 041010
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220408 - 041010
24,10000043,CCS DC 175kW (ultra),4,4,20220408 - 041015
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220408 - 041015
26,10000044,CCS DC 175kW (ultra),4,4,20220408 - 041020
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220408 - 041020
28,10000045,CCS DC 150kW (ultra),0,2,20220408 - 041011
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220408 - 041011
30,10000047,CCS DC 175kW (ultra),4,4,20220408 - 041016
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220408 - 041016
32,10000049,CCS DC 175kW (ultra),4,4,20220408 - 041021
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220408 - 041022
34,10000086,CCS DC 175kW (ultra),4,4,20220408 - 041016
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220408 - 041016
36,10000086,CCS DC 175kW (ultra),4,4,20220408 - 041016
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220408 - 041016
38,10000257,CCS DC 175kW (ultra),1,1,20220408 - 041022
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220408 - 041022
