,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220524 - 002013
1,12320,CCS DC 150kW (ultra),2,4,20220524 - 002032
2,12949,CCS DC 150kW (ultra),14,16,20220524 - 002050
3,12950,CCS DC 150kW (ultra),8,8,20220524 - 002013
4,10000034,,,,20220524 - 002013
5,10000035,CCS DC 270kW (ultra),5,6,20220524 - 002051
6,10000035,CHAdeMO DC 62.5kW (fast),2,2,20220524 - 002051
7,10000035,Type 2 AC 7.36kW (regular),0,1,20220524 - 002053
8,10000036,CCS DC 175kW (ultra),4,4,20220524 - 002013
9,10000036,CHAdeMO DC 75kW (fast),4,4,20220524 - 002015
10,10000037,CCS DC 175kW (ultra),2,2,20220524 - 002037
11,10000037,CHAdeMO DC 75kW (fast),2,2,20220524 - 002037
12,10000038,CCS DC 175kW (ultra),2,2,20220524 - 002053
13,10000038,CHAdeMO DC 75kW (fast),2,2,20220524 - 002053
14,10000039,CCS DC 175kW (ultra),4,4,20220524 - 002020
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220524 - 002021
16,10000040,CCS DC 175kW (ultra),3,3,20220524 - 002042
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220524 - 002045
18,10000041,CCS DC 175kW (ultra),2,3,20220524 - 002058
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220524 - 002059
20,10000042,,,,20220524 - 002059
21,10000043,CCS DC 175kW (ultra),4,4,20220524 - 002047
22,10000043,CHAdeMO DC 75kW (fast),4,4,20220524 - 002049
23,10000044,CCS DC 175kW (ultra),4,4,20220524 - 002102
24,10000044,CHAdeMO DC 75kW (fast),4,4,20220524 - 002103
25,10000045,CCS DC 150kW (ultra),0,2,20220524 - 002020
26,10000045,Type 2 AC 7.36kW (regular),0,1,20220524 - 002021
27,10000047,CCS DC 175kW (ultra),4,4,20220524 - 002044
28,10000047,CHAdeMO DC 75kW (fast),4,4,20220524 - 002046
29,10000049,CCS DC 175kW (ultra),4,4,20220524 - 002059
30,10000049,CHAdeMO DC 75kW (fast),4,4,20220524 - 002059
31,10000086,CCS DC 175kW (ultra),4,4,20220524 - 002050
32,10000086,CHAdeMO DC 175kW (ultra),4,4,20220524 - 002050
33,10000086,CCS DC 175kW (ultra),4,4,20220524 - 002050
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220524 - 002050
35,10000257,CCS DC 175kW (ultra),1,1,20220524 - 002103
36,10000257,CHAdeMO DC 75kW (fast),1,1,20220524 - 002103
