,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220524 - 040022
1,12320,CCS DC 150kW (ultra),4,4,20220524 - 040044
2,12949,,,,20220524 - 040044
3,12950,CCS DC 150kW (ultra),8,8,20220524 - 040022
4,10000034,CCS DC 175kW (ultra),2,2,20220524 - 040041
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220524 - 040042
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220524 - 040043
7,10000035,CCS DC 270kW (ultra),6,6,20220524 - 040101
8,10000035,CHAdeMO DC 62.5kW (fast),2,2,20220524 - 040102
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220524 - 040102
10,10000036,CCS DC 175kW (ultra),4,4,20220524 - 040022
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220524 - 040026
12,10000037,CCS DC 175kW (ultra),2,2,20220524 - 040043
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220524 - 040044
14,10000038,CCS DC 175kW (ultra),2,2,20220524 - 040102
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220524 - 040103
16,10000039,CCS DC 175kW (ultra),4,4,20220524 - 040022
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220524 - 040026
18,10000040,CCS DC 175kW (ultra),3,3,20220524 - 040043
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220524 - 040044
20,10000041,CCS DC 175kW (ultra),2,3,20220524 - 040102
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220524 - 040102
22,10000042,CCS DC 175kW (ultra),3,3,20220524 - 040028
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220524 - 040028
24,10000043,,,,20220524 - 040028
25,10000044,,,,20220524 - 040028
26,10000045,CCS DC 150kW (ultra),0,2,20220524 - 040022
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220524 - 040022
28,10000047,CCS DC 175kW (ultra),4,4,20220524 - 040043
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220524 - 040044
30,10000049,CCS DC 175kW (ultra),4,4,20220524 - 040106
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220524 - 040106
32,10000086,CCS DC 175kW (ultra),4,4,20220524 - 040042
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220524 - 040043
34,10000086,CCS DC 175kW (ultra),4,4,20220524 - 040042
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220524 - 040043
36,10000257,,,,20220524 - 040043
