,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220401 - 073012
1,12320,CCS DC 150kW (ultra),0,4,20220401 - 073019
2,12949,CCS DC 150kW (ultra),9,16,20220401 - 073027
3,12950,CCS DC 150kW (ultra),7,8,20220401 - 073013
4,10000034,CCS DC 175kW (ultra),2,2,20220401 - 073021
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220401 - 073022
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220401 - 073022
7,10000035,CCS DC 270kW (ultra),3,7,20220401 - 073027
8,10000035,CHAdeMO DC 62.5kW (fast),1,4,20220401 - 073027
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220401 - 073027
10,10000036,CCS DC 175kW (ultra),3,4,20220401 - 073012
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220401 - 073012
12,10000037,CCS DC 175kW (ultra),2,2,20220401 - 073020
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220401 - 073020
14,10000038,CCS DC 175kW (ultra),1,2,20220401 - 073026
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220401 - 073026
16,10000039,CCS DC 175kW (ultra),3,4,20220401 - 073012
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220401 - 073012
18,10000040,CCS DC 175kW (ultra),3,3,20220401 - 073018
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220401 - 073018
20,10000041,CCS DC 175kW (ultra),3,4,20220401 - 073024
21,10000041,CHAdeMO DC 75kW (fast),3,4,20220401 - 073024
22,10000042,CCS DC 175kW (ultra),3,3,20220401 - 073018
23,10000042,CHAdeMO DC 75kW (fast),3,3,20220401 - 073018
24,10000043,CCS DC 175kW (ultra),3,3,20220401 - 073026
25,10000043,CHAdeMO DC 75kW (fast),3,3,20220401 - 073026
26,10000044,CCS DC 175kW (ultra),4,4,20220401 - 073030
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220401 - 073030
28,10000045,CCS DC 150kW (ultra),0,2,20220401 - 073014
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220401 - 073014
30,10000047,CCS DC 175kW (ultra),3,4,20220401 - 073019
31,10000047,CHAdeMO DC 75kW (fast),3,4,20220401 - 073019
32,10000049,CCS DC 175kW (ultra),4,4,20220401 - 073024
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220401 - 073024
34,10000086,CCS DC 175kW (ultra),4,4,20220401 - 073018
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220401 - 073018
36,10000086,CCS DC 175kW (ultra),4,4,20220401 - 073018
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220401 - 073018
38,10000257,CCS DC 175kW (ultra),1,1,20220401 - 073023
39,10000257,CHAdeMO DC 75kW (fast),1,1,20220401 - 073023
