,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220426 - 153020
1,12320,CCS DC 150kW (ultra),0,4,20220426 - 153041
2,12949,CCS DC 150kW (ultra),8,16,20220426 - 153101
3,12950,CCS DC 150kW (ultra),4,8,20220426 - 153019
4,10000034,CCS DC 175kW (ultra),1,2,20220426 - 153041
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220426 - 153042
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220426 - 153043
7,10000035,CCS DC 270kW (ultra),5,8,20220426 - 153101
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220426 - 153102
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220426 - 153103
10,10000036,CCS DC 175kW (ultra),4,4,20220426 - 153023
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220426 - 153028
12,10000037,CCS DC 175kW (ultra),2,2,20220426 - 153048
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220426 - 153051
14,10000038,CCS DC 175kW (ultra),2,2,20220426 - 153106
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220426 - 153106
16,10000039,CCS DC 175kW (ultra),2,4,20220426 - 153020
17,10000039,CHAdeMO DC 75kW (fast),2,4,20220426 - 153022
18,10000040,CCS DC 175kW (ultra),1,1,20220426 - 153046
19,10000040,CHAdeMO DC 75kW (fast),1,1,20220426 - 153048
20,10000041,CCS DC 175kW (ultra),2,3,20220426 - 153105
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220426 - 153105
22,10000042,CCS DC 175kW (ultra),0,3,20220426 - 153020
23,10000042,CHAdeMO DC 75kW (fast),0,3,20220426 - 153023
24,10000043,CCS DC 175kW (ultra),1,2,20220426 - 153042
25,10000043,CHAdeMO DC 75kW (fast),1,2,20220426 - 153044
26,10000044,CCS DC 175kW (ultra),3,3,20220426 - 153102
27,10000044,CHAdeMO DC 75kW (fast),3,3,20220426 - 153103
28,10000045,CCS DC 150kW (ultra),0,2,20220426 - 153020
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220426 - 153022
30,10000047,CCS DC 175kW (ultra),2,3,20220426 - 153042
31,10000047,CHAdeMO DC 75kW (fast),2,3,20220426 - 153044
32,10000049,CCS DC 175kW (ultra),3,3,20220426 - 153101
33,10000049,CHAdeMO DC 75kW (fast),3,3,20220426 - 153102
34,10000086,CCS DC 175kW (ultra),3,3,20220426 - 153041
35,10000086,CHAdeMO DC 175kW (ultra),3,3,20220426 - 153041
36,10000086,CCS DC 175kW (ultra),3,3,20220426 - 153041
37,10000086,CHAdeMO DC 175kW (ultra),3,3,20220426 - 153041
38,10000257,CCS DC 175kW (ultra),0,1,20220426 - 153101
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220426 - 153101
