,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220517 - 195020
1,12320,,,,20220517 - 195020
2,12949,CCS DC 150kW (ultra),7,16,20220517 - 195057
3,12950,CCS DC 150kW (ultra),7,8,20220517 - 195019
4,10000034,CCS DC 175kW (ultra),2,2,20220517 - 195043
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220517 - 195046
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220517 - 195047
7,10000035,CCS DC 270kW (ultra),3,8,20220517 - 195104
8,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220517 - 195105
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220517 - 195105
10,10000036,CCS DC 175kW (ultra),3,4,20220517 - 195019
11,10000036,CHAdeMO DC 75kW (fast),3,4,20220517 - 195023
12,10000037,CCS DC 175kW (ultra),1,2,20220517 - 195046
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220517 - 195047
14,10000038,CCS DC 175kW (ultra),2,2,20220517 - 195105
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220517 - 195105
16,10000039,CCS DC 175kW (ultra),4,4,20220517 - 195029
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220517 - 195030
18,10000040,,,,20220517 - 195030
19,10000041,CCS DC 175kW (ultra),2,3,20220517 - 195107
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220517 - 195108
21,10000042,CCS DC 175kW (ultra),3,3,20220517 - 195018
22,10000042,CHAdeMO DC 75kW (fast),3,3,20220517 - 195019
23,10000043,CCS DC 175kW (ultra),2,4,20220517 - 195036
24,10000043,CHAdeMO DC 75kW (fast),2,4,20220517 - 195037
25,10000044,CCS DC 175kW (ultra),4,4,20220517 - 195054
26,10000044,CHAdeMO DC 75kW (fast),4,4,20220517 - 195055
27,10000045,CCS DC 150kW (ultra),0,2,20220517 - 195032
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220517 - 195034
29,10000047,CCS DC 175kW (ultra),4,4,20220517 - 195054
30,10000047,CHAdeMO DC 75kW (fast),4,4,20220517 - 195054
31,10000049,CCS DC 175kW (ultra),4,4,20220517 - 195109
32,10000049,CHAdeMO DC 75kW (fast),4,4,20220517 - 195109
33,10000086,CCS DC 175kW (ultra),4,4,20220517 - 195048
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220517 - 195052
35,10000086,CCS DC 175kW (ultra),4,4,20220517 - 195048
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220517 - 195052
37,10000257,CCS DC 175kW (ultra),1,1,20220517 - 195108
38,10000257,CHAdeMO DC 75kW (fast),1,1,20220517 - 195108
