,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220514 - 235031
1,12320,CCS DC 150kW (ultra),1,4,20220514 - 235052
2,12949,,,,20220514 - 235052
3,12950,CCS DC 150kW (ultra),8,8,20220514 - 235032
4,10000034,CCS DC 175kW (ultra),2,2,20220514 - 235052
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220514 - 235055
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220514 - 235055
7,10000035,,,,20220514 - 235055
8,10000036,CCS DC 175kW (ultra),4,4,20220514 - 235031
9,10000036,CHAdeMO DC 75kW (fast),4,4,20220514 - 235033
10,10000037,CCS DC 175kW (ultra),2,2,20220514 - 235052
11,10000037,CHAdeMO DC 75kW (fast),2,2,20220514 - 235052
12,10000038,CCS DC 175kW (ultra),1,2,20220514 - 235109
13,10000038,CHAdeMO DC 75kW (fast),1,2,20220514 - 235109
14,10000039,CCS DC 175kW (ultra),4,4,20220514 - 235026
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220514 - 235027
16,10000040,CCS DC 175kW (ultra),3,3,20220514 - 235044
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220514 - 235046
18,10000041,CCS DC 175kW (ultra),2,3,20220514 - 235106
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220514 - 235107
20,10000042,,,,20220514 - 235107
21,10000043,CCS DC 175kW (ultra),4,4,20220514 - 235047
22,10000043,CHAdeMO DC 75kW (fast),4,4,20220514 - 235048
23,10000044,CCS DC 175kW (ultra),4,4,20220514 - 235107
24,10000044,CHAdeMO DC 75kW (fast),4,4,20220514 - 235107
25,10000045,,,,20220514 - 235107
26,10000047,CCS DC 175kW (ultra),4,4,20220514 - 235049
27,10000047,CHAdeMO DC 75kW (fast),4,4,20220514 - 235051
28,10000049,CCS DC 175kW (ultra),4,4,20220514 - 235108
29,10000049,CHAdeMO DC 75kW (fast),4,4,20220514 - 235109
30,10000086,CCS DC 175kW (ultra),4,4,20220514 - 235050
31,10000086,CHAdeMO DC 175kW (ultra),4,4,20220514 - 235052
32,10000086,CCS DC 175kW (ultra),4,4,20220514 - 235050
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220514 - 235052
34,10000257,CCS DC 175kW (ultra),1,1,20220514 - 235110
35,10000257,CHAdeMO DC 75kW (fast),1,1,20220514 - 235110
