,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220504 - 060022
1,12320,CCS DC 150kW (ultra),3,4,20220504 - 060047
2,12949,CCS DC 150kW (ultra),14,16,20220504 - 060106
3,12950,CCS DC 150kW (ultra),7,8,20220504 - 060022
4,10000034,CCS DC 175kW (ultra),2,2,20220504 - 060047
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220504 - 060050
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220504 - 060051
7,10000035,CCS DC 270kW (ultra),6,8,20220504 - 060109
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220504 - 060109
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220504 - 060110
10,10000036,CCS DC 175kW (ultra),4,4,20220504 - 060022
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220504 - 060025
12,10000037,,,,20220504 - 060025
13,10000038,CCS DC 175kW (ultra),2,2,20220504 - 060106
14,10000038,CHAdeMO DC 75kW (fast),2,2,20220504 - 060107
15,10000039,CCS DC 175kW (ultra),4,4,20220504 - 060022
16,10000039,CHAdeMO DC 75kW (fast),4,4,20220504 - 060025
17,10000040,CCS DC 175kW (ultra),3,3,20220504 - 060049
18,10000040,CHAdeMO DC 75kW (fast),3,3,20220504 - 060050
19,10000041,CCS DC 175kW (ultra),2,3,20220504 - 060108
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220504 - 060109
21,10000042,CCS DC 175kW (ultra),3,3,20220504 - 060022
22,10000042,CHAdeMO DC 75kW (fast),3,3,20220504 - 060028
23,10000043,,,,20220504 - 060028
24,10000044,CCS DC 175kW (ultra),4,4,20220504 - 060106
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220504 - 060107
26,10000045,CCS DC 150kW (ultra),0,2,20220504 - 060029
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220504 - 060032
28,10000047,CCS DC 175kW (ultra),4,4,20220504 - 060053
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220504 - 060055
30,10000049,CCS DC 175kW (ultra),4,4,20220504 - 060110
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220504 - 060110
32,10000086,CCS DC 175kW (ultra),4,4,20220504 - 060048
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220504 - 060050
34,10000086,CCS DC 175kW (ultra),4,4,20220504 - 060048
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220504 - 060050
36,10000257,CCS DC 175kW (ultra),1,1,20220504 - 060107
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220504 - 060108
