,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),1,4,20220410 - 110013
1,12320,CCS DC 150kW (ultra),0,4,20220410 - 110022
2,12949,CCS DC 150kW (ultra),1,16,20220410 - 110027
3,12950,CCS DC 150kW (ultra),3,8,20220410 - 110014
4,10000034,CCS DC 175kW (ultra),2,2,20220410 - 110019
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220410 - 110019
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220410 - 110020
7,10000035,CCS DC 270kW (ultra),3,7,20220410 - 110026
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220410 - 110026
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220410 - 110026
10,10000036,CCS DC 175kW (ultra),1,4,20220410 - 110013
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220410 - 110013
12,10000037,CCS DC 175kW (ultra),1,2,20220410 - 110019
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220410 - 110019
14,10000038,CCS DC 175kW (ultra),0,2,20220410 - 110025
15,10000038,CHAdeMO DC 75kW (fast),0,2,20220410 - 110026
16,10000039,CCS DC 175kW (ultra),3,4,20220410 - 110018
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220410 - 110018
18,10000040,CCS DC 175kW (ultra),2,3,20220410 - 110023
19,10000040,CHAdeMO DC 75kW (fast),2,3,20220410 - 110023
20,10000041,CCS DC 175kW (ultra),4,4,20220410 - 110028
21,10000041,CHAdeMO DC 75kW (fast),4,4,20220410 - 110028
22,10000042,,,,20220410 - 110028
23,10000043,CCS DC 175kW (ultra),4,4,20220410 - 110029
24,10000043,CHAdeMO DC 75kW (fast),4,4,20220410 - 110029
25,10000044,CCS DC 175kW (ultra),1,4,20220410 - 110032
26,10000044,CHAdeMO DC 75kW (fast),1,4,20220410 - 110032
27,10000045,CCS DC 150kW (ultra),0,2,20220410 - 110013
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220410 - 110013
29,10000047,CCS DC 175kW (ultra),4,4,20220410 - 110019
30,10000047,CHAdeMO DC 75kW (fast),4,4,20220410 - 110019
31,10000049,CCS DC 175kW (ultra),4,4,20220410 - 110026
32,10000049,CHAdeMO DC 75kW (fast),4,4,20220410 - 110026
33,10000086,CCS DC 175kW (ultra),4,4,20220410 - 110019
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220410 - 110019
35,10000086,CCS DC 175kW (ultra),4,4,20220410 - 110019
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220410 - 110019
37,10000257,CCS DC 175kW (ultra),0,1,20220410 - 110027
38,10000257,CHAdeMO DC 75kW (fast),0,1,20220410 - 110027
