,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220519 - 202026
1,12320,CCS DC 150kW (ultra),3,4,20220519 - 202047
2,12949,CCS DC 150kW (ultra),7,16,20220519 - 202106
3,12950,CCS DC 150kW (ultra),8,8,20220519 - 202024
4,10000034,,,,20220519 - 202024
5,10000035,CCS DC 270kW (ultra),5,8,20220519 - 202105
6,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220519 - 202106
7,10000035,Type 2 AC 7.36kW (regular),0,1,20220519 - 202107
8,10000036,CCS DC 175kW (ultra),3,4,20220519 - 202030
9,10000036,CHAdeMO DC 75kW (fast),3,4,20220519 - 202032
10,10000037,CCS DC 175kW (ultra),1,2,20220519 - 202050
11,10000037,CHAdeMO DC 75kW (fast),1,2,20220519 - 202051
12,10000038,CCS DC 175kW (ultra),2,2,20220519 - 202109
13,10000038,CHAdeMO DC 75kW (fast),2,2,20220519 - 202109
14,10000039,CCS DC 175kW (ultra),4,4,20220519 - 202024
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220519 - 202026
16,10000040,CCS DC 175kW (ultra),3,3,20220519 - 202046
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220519 - 202047
18,10000041,CCS DC 175kW (ultra),2,3,20220519 - 202107
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220519 - 202107
20,10000042,,,,20220519 - 202107
21,10000043,,,,20220519 - 202107
22,10000044,,,,20220519 - 202107
23,10000045,CCS DC 150kW (ultra),0,2,20220519 - 202024
24,10000045,Type 2 AC 7.36kW (regular),0,1,20220519 - 202026
25,10000047,CCS DC 175kW (ultra),3,4,20220519 - 202046
26,10000047,CHAdeMO DC 75kW (fast),3,4,20220519 - 202047
27,10000049,CCS DC 175kW (ultra),3,4,20220519 - 202106
28,10000049,CHAdeMO DC 75kW (fast),3,4,20220519 - 202107
29,10000086,CCS DC 175kW (ultra),4,4,20220519 - 202046
30,10000086,CHAdeMO DC 175kW (ultra),4,4,20220519 - 202047
31,10000086,CCS DC 175kW (ultra),4,4,20220519 - 202046
32,10000086,CHAdeMO DC 175kW (ultra),4,4,20220519 - 202047
33,10000257,CCS DC 175kW (ultra),1,1,20220519 - 202106
34,10000257,CHAdeMO DC 75kW (fast),1,1,20220519 - 202107
