,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),1,4,20220523 - 224018
1,12320,CCS DC 150kW (ultra),1,4,20220523 - 224044
2,12949,CCS DC 150kW (ultra),12,16,20220523 - 224100
3,12950,CCS DC 150kW (ultra),7,8,20220523 - 224018
4,10000034,CCS DC 175kW (ultra),1,2,20220523 - 224043
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220523 - 224046
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220523 - 224047
7,10000035,CCS DC 270kW (ultra),5,6,20220523 - 224102
8,10000035,CHAdeMO DC 62.5kW (fast),2,2,20220523 - 224102
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220523 - 224102
10,10000036,CCS DC 175kW (ultra),4,4,20220523 - 224032
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220523 - 224033
12,10000037,CCS DC 175kW (ultra),0,2,20220523 - 224053
13,10000037,CHAdeMO DC 75kW (fast),0,2,20220523 - 224054
14,10000038,CCS DC 175kW (ultra),2,2,20220523 - 224108
15,10000038,CHAdeMO DC 75kW (fast),2,2,20220523 - 224108
16,10000039,,,,20220523 - 224108
17,10000040,CCS DC 175kW (ultra),3,3,20220523 - 224047
18,10000040,CHAdeMO DC 75kW (fast),3,3,20220523 - 224048
19,10000041,CCS DC 175kW (ultra),2,3,20220523 - 224104
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220523 - 224104
21,10000042,CCS DC 175kW (ultra),3,3,20220523 - 224018
22,10000042,CHAdeMO DC 75kW (fast),3,3,20220523 - 224022
23,10000043,,,,20220523 - 224022
24,10000044,CCS DC 175kW (ultra),4,4,20220523 - 224057
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220523 - 224058
26,10000045,CCS DC 150kW (ultra),0,2,20220523 - 224016
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220523 - 224016
28,10000047,,,,20220523 - 224016
29,10000049,CCS DC 175kW (ultra),4,4,20220523 - 224058
30,10000049,CHAdeMO DC 75kW (fast),4,4,20220523 - 224059
31,10000086,CCS DC 175kW (ultra),4,4,20220523 - 224017
32,10000086,CHAdeMO DC 175kW (ultra),4,4,20220523 - 224018
33,10000086,CCS DC 175kW (ultra),4,4,20220523 - 224017
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220523 - 224018
35,10000257,CCS DC 175kW (ultra),1,1,20220523 - 224054
36,10000257,CHAdeMO DC 75kW (fast),1,1,20220523 - 224057
