,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220510 - 062014
1,12320,CCS DC 150kW (ultra),4,4,20220510 - 062029
2,12949,CCS DC 150kW (ultra),14,16,20220510 - 062032
3,12950,CCS DC 150kW (ultra),8,8,20220510 - 062014
4,10000034,CCS DC 175kW (ultra),2,2,20220510 - 062019
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220510 - 062019
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220510 - 062019
7,10000035,CCS DC 270kW (ultra),5,8,20220510 - 062024
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220510 - 062024
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220510 - 062024
10,10000036,CCS DC 175kW (ultra),4,4,20220510 - 062013
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220510 - 062013
12,10000037,CCS DC 175kW (ultra),1,2,20220510 - 062020
13,10000037,CHAdeMO DC 75kW (fast),1,2,20220510 - 062020
14,10000038,CCS DC 175kW (ultra),1,2,20220510 - 062026
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220510 - 062026
16,10000039,CCS DC 175kW (ultra),3,4,20220510 - 062014
17,10000039,CHAdeMO DC 75kW (fast),3,4,20220510 - 062014
18,10000040,CCS DC 175kW (ultra),3,3,20220510 - 062020
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220510 - 062020
20,10000041,CCS DC 175kW (ultra),1,3,20220510 - 062026
21,10000041,CHAdeMO DC 75kW (fast),1,3,20220510 - 062026
22,10000042,CCS DC 175kW (ultra),1,3,20220510 - 062014
23,10000042,CHAdeMO DC 75kW (fast),1,3,20220510 - 062014
24,10000043,CCS DC 175kW (ultra),4,4,20220510 - 062020
25,10000043,CHAdeMO DC 75kW (fast),4,4,20220510 - 062020
26,10000044,CCS DC 175kW (ultra),4,4,20220510 - 062025
27,10000044,CHAdeMO DC 75kW (fast),4,4,20220510 - 062025
28,10000045,CCS DC 150kW (ultra),0,2,20220510 - 062015
29,10000045,Type 2 AC 7.36kW (regular),0,1,20220510 - 062015
30,10000047,CCS DC 175kW (ultra),4,4,20220510 - 062020
31,10000047,CHAdeMO DC 75kW (fast),4,4,20220510 - 062020
32,10000049,CCS DC 175kW (ultra),4,4,20220510 - 062025
33,10000049,CHAdeMO DC 75kW (fast),4,4,20220510 - 062025
34,10000086,CCS DC 175kW (ultra),4,4,20220510 - 062020
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220510 - 062020
36,10000086,CCS DC 175kW (ultra),4,4,20220510 - 062020
37,10000086,CHAdeMO DC 175kW (ultra),4,4,20220510 - 062020
38,10000257,CCS DC 175kW (ultra),0,1,20220510 - 062027
39,10000257,CHAdeMO DC 75kW (fast),0,1,20220510 - 062027
