,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220514 - 173022
1,12320,CCS DC 150kW (ultra),2,4,20220514 - 173044
2,12949,CCS DC 150kW (ultra),7,16,20220514 - 173105
3,12950,CCS DC 150kW (ultra),4,8,20220514 - 173021
4,10000034,CCS DC 175kW (ultra),2,2,20220514 - 173039
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220514 - 173042
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220514 - 173044
7,10000035,CCS DC 270kW (ultra),1,8,20220514 - 173105
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220514 - 173105
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220514 - 173105
10,10000036,CCS DC 175kW (ultra),4,4,20220514 - 173020
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220514 - 173021
12,10000037,,,,20220514 - 173021
13,10000038,,,,20220514 - 173021
14,10000039,CCS DC 175kW (ultra),4,4,20220514 - 173022
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220514 - 173026
16,10000040,CCS DC 175kW (ultra),3,3,20220514 - 173045
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220514 - 173047
18,10000041,CCS DC 175kW (ultra),2,3,20220514 - 173104
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220514 - 173105
20,10000042,CCS DC 175kW (ultra),3,3,20220514 - 173026
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220514 - 173027
22,10000043,CCS DC 175kW (ultra),4,4,20220514 - 173048
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220514 - 173049
24,10000044,CCS DC 175kW (ultra),4,4,20220514 - 173106
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220514 - 173106
26,10000045,CCS DC 150kW (ultra),0,2,20220514 - 173021
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220514 - 173022
28,10000047,CCS DC 175kW (ultra),4,4,20220514 - 173044
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220514 - 173046
30,10000049,,,,20220514 - 173046
31,10000086,CCS DC 175kW (ultra),4,4,20220514 - 173047
32,10000086,CHAdeMO DC 175kW (ultra),4,4,20220514 - 173048
33,10000086,CCS DC 175kW (ultra),4,4,20220514 - 173047
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220514 - 173048
35,10000257,CCS DC 175kW (ultra),1,1,20220514 - 173106
36,10000257,CHAdeMO DC 75kW (fast),1,1,20220514 - 173107
