,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220515 - 075024
1,12320,CCS DC 150kW (ultra),3,4,20220515 - 075047
2,12949,CCS DC 150kW (ultra),13,16,20220515 - 075106
3,12950,CCS DC 150kW (ultra),8,8,20220515 - 075028
4,10000034,CCS DC 175kW (ultra),2,2,20220515 - 075047
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220515 - 075047
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220515 - 075050
7,10000035,,,,20220515 - 075050
8,10000036,CCS DC 175kW (ultra),4,4,20220515 - 075029
9,10000036,CHAdeMO DC 75kW (fast),4,4,20220515 - 075030
10,10000037,CCS DC 175kW (ultra),2,2,20220515 - 075051
11,10000037,CHAdeMO DC 75kW (fast),2,2,20220515 - 075051
12,10000038,CCS DC 175kW (ultra),1,2,20220515 - 075107
13,10000038,CHAdeMO DC 75kW (fast),1,2,20220515 - 075108
14,10000039,CCS DC 175kW (ultra),4,4,20220515 - 075029
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220515 - 075033
16,10000040,CCS DC 175kW (ultra),3,3,20220515 - 075051
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220515 - 075052
18,10000041,CCS DC 175kW (ultra),2,3,20220515 - 075109
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220515 - 075109
20,10000042,CCS DC 175kW (ultra),3,3,20220515 - 075028
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220515 - 075029
22,10000043,CCS DC 175kW (ultra),4,4,20220515 - 075047
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220515 - 075049
24,10000044,CCS DC 175kW (ultra),4,4,20220515 - 075107
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220515 - 075107
26,10000045,CCS DC 150kW (ultra),0,2,20220515 - 075027
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220515 - 075029
28,10000047,CCS DC 175kW (ultra),4,4,20220515 - 075047
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220515 - 075047
30,10000049,CCS DC 175kW (ultra),4,4,20220515 - 075106
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220515 - 075107
32,10000086,CCS DC 175kW (ultra),4,4,20220515 - 075051
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220515 - 075051
34,10000086,CCS DC 175kW (ultra),4,4,20220515 - 075051
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220515 - 075051
36,10000257,CCS DC 175kW (ultra),1,1,20220515 - 075109
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220515 - 075109
