,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220523 - 011026
1,12320,,,,20220523 - 011026
2,12949,CCS DC 150kW (ultra),7,16,20220523 - 011106
3,12950,,,,20220523 - 011106
4,10000034,,,,20220523 - 011106
5,10000035,CCS DC 270kW (ultra),7,8,20220523 - 011108
6,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220523 - 011108
7,10000035,Type 2 AC 7.36kW (regular),0,1,20220523 - 011108
8,10000036,CCS DC 175kW (ultra),4,4,20220523 - 011025
9,10000036,CHAdeMO DC 75kW (fast),4,4,20220523 - 011026
10,10000037,CCS DC 175kW (ultra),2,2,20220523 - 011049
11,10000037,CHAdeMO DC 75kW (fast),2,2,20220523 - 011050
12,10000038,CCS DC 175kW (ultra),2,2,20220523 - 011106
13,10000038,CHAdeMO DC 75kW (fast),2,2,20220523 - 011107
14,10000039,CCS DC 175kW (ultra),4,4,20220523 - 011026
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220523 - 011028
16,10000040,CCS DC 175kW (ultra),3,3,20220523 - 011049
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220523 - 011050
18,10000041,CCS DC 175kW (ultra),2,3,20220523 - 011107
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220523 - 011108
20,10000042,CCS DC 175kW (ultra),3,3,20220523 - 011030
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220523 - 011032
22,10000043,CCS DC 175kW (ultra),4,4,20220523 - 011052
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220523 - 011053
24,10000044,CCS DC 175kW (ultra),4,4,20220523 - 011110
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220523 - 011110
26,10000045,CCS DC 150kW (ultra),0,2,20220523 - 011026
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220523 - 011029
28,10000047,CCS DC 175kW (ultra),4,4,20220523 - 011050
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220523 - 011051
30,10000049,CCS DC 175kW (ultra),4,4,20220523 - 011110
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220523 - 011110
32,10000086,CCS DC 175kW (ultra),4,4,20220523 - 011049
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220523 - 011050
34,10000086,CCS DC 175kW (ultra),4,4,20220523 - 011049
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220523 - 011050
36,10000257,CCS DC 175kW (ultra),1,1,20220523 - 011109
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220523 - 011109
