,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220517 - 020020
1,12320,CCS DC 150kW (ultra),4,4,20220517 - 020041
2,12949,CCS DC 150kW (ultra),15,16,20220517 - 020057
3,12950,CCS DC 150kW (ultra),8,8,20220517 - 020020
4,10000034,CCS DC 175kW (ultra),1,2,20220517 - 020041
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220517 - 020041
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220517 - 020044
7,10000035,CCS DC 270kW (ultra),8,8,20220517 - 020100
8,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220517 - 020100
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220517 - 020101
10,10000036,,,,20220517 - 020101
11,10000037,CCS DC 175kW (ultra),2,2,20220517 - 020047
12,10000037,CHAdeMO DC 75kW (fast),2,2,20220517 - 020049
13,10000038,CCS DC 175kW (ultra),1,2,20220517 - 020104
14,10000038,CHAdeMO DC 75kW (fast),1,2,20220517 - 020104
15,10000039,CCS DC 175kW (ultra),4,4,20220517 - 020028
16,10000039,CHAdeMO DC 75kW (fast),4,4,20220517 - 020029
17,10000040,CCS DC 175kW (ultra),3,3,20220517 - 020049
18,10000040,CHAdeMO DC 75kW (fast),3,3,20220517 - 020050
19,10000041,CCS DC 175kW (ultra),2,3,20220517 - 020105
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220517 - 020106
21,10000042,CCS DC 175kW (ultra),3,3,20220517 - 020019
22,10000042,CHAdeMO DC 75kW (fast),3,3,20220517 - 020023
23,10000043,,,,20220517 - 020023
24,10000044,CCS DC 175kW (ultra),4,4,20220517 - 020103
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220517 - 020103
26,10000045,CCS DC 150kW (ultra),0,2,20220517 - 020019
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220517 - 020020
28,10000047,CCS DC 175kW (ultra),4,4,20220517 - 020041
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220517 - 020041
30,10000049,CCS DC 175kW (ultra),4,4,20220517 - 020057
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220517 - 020058
32,10000086,CCS DC 175kW (ultra),4,4,20220517 - 020034
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220517 - 020034
34,10000086,CCS DC 175kW (ultra),4,4,20220517 - 020034
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220517 - 020034
36,10000257,CCS DC 175kW (ultra),1,1,20220517 - 020057
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220517 - 020057
