,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220516 - 030013
1,12320,CCS DC 150kW (ultra),2,4,20220516 - 030033
2,12949,CCS DC 150kW (ultra),14,16,20220516 - 030051
3,12950,CCS DC 150kW (ultra),8,8,20220516 - 030018
4,10000034,CCS DC 175kW (ultra),2,2,20220516 - 030039
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220516 - 030040
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220516 - 030046
7,10000035,CCS DC 270kW (ultra),1,8,20220516 - 030101
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220516 - 030102
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220516 - 030102
10,10000036,CCS DC 175kW (ultra),4,4,20220516 - 030022
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220516 - 030028
12,10000037,CCS DC 175kW (ultra),2,2,20220516 - 030049
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220516 - 030050
14,10000038,CCS DC 175kW (ultra),1,2,20220516 - 030104
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220516 - 030104
16,10000039,CCS DC 175kW (ultra),4,4,20220516 - 030019
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220516 - 030023
18,10000040,CCS DC 175kW (ultra),3,3,20220516 - 030047
19,10000040,CHAdeMO DC 75kW (fast),3,3,20220516 - 030048
20,10000041,CCS DC 175kW (ultra),2,3,20220516 - 030101
21,10000041,CHAdeMO DC 75kW (fast),2,3,20220516 - 030102
22,10000042,,,,20220516 - 030102
23,10000043,CCS DC 175kW (ultra),4,4,20220516 - 030047
24,10000043,CHAdeMO DC 75kW (fast),4,4,20220516 - 030048
25,10000044,CCS DC 175kW (ultra),4,4,20220516 - 030101
26,10000044,CHAdeMO DC 75kW (fast),4,4,20220516 - 030102
27,10000045,CCS DC 150kW (ultra),0,2,20220516 - 030025
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220516 - 030030
29,10000047,CCS DC 175kW (ultra),4,4,20220516 - 030051
30,10000047,CHAdeMO DC 75kW (fast),4,4,20220516 - 030051
31,10000049,CCS DC 175kW (ultra),4,4,20220516 - 030104
32,10000049,CHAdeMO DC 75kW (fast),4,4,20220516 - 030105
33,10000086,CCS DC 175kW (ultra),4,4,20220516 - 030011
34,10000086,CHAdeMO DC 175kW (ultra),4,4,20220516 - 030012
35,10000086,CCS DC 175kW (ultra),4,4,20220516 - 030011
36,10000086,CHAdeMO DC 175kW (ultra),4,4,20220516 - 030012
37,10000257,,,,20220516 - 030012
