,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220513 - 070014
1,12320,CCS DC 150kW (ultra),2,4,20220513 - 070032
2,12949,CCS DC 150kW (ultra),13,16,20220513 - 070048
3,12950,CCS DC 150kW (ultra),6,8,20220513 - 070012
4,10000034,CCS DC 175kW (ultra),2,2,20220513 - 070032
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220513 - 070033
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220513 - 070033
7,10000035,CCS DC 270kW (ultra),1,8,20220513 - 070051
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220513 - 070052
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220513 - 070052
10,10000036,,,,20220513 - 070052
11,10000037,,,,20220513 - 070052
12,10000038,CCS DC 175kW (ultra),1,2,20220513 - 070100
13,10000038,CHAdeMO DC 75kW (fast),1,2,20220513 - 070100
14,10000039,CCS DC 175kW (ultra),4,4,20220513 - 070021
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220513 - 070022
16,10000040,,,,20220513 - 070022
17,10000041,CCS DC 175kW (ultra),2,3,20220513 - 070057
18,10000041,CHAdeMO DC 75kW (fast),2,3,20220513 - 070057
19,10000042,CCS DC 175kW (ultra),3,3,20220513 - 070020
20,10000042,CHAdeMO DC 75kW (fast),3,3,20220513 - 070022
21,10000043,CCS DC 175kW (ultra),4,4,20220513 - 070048
22,10000043,CHAdeMO DC 75kW (fast),4,4,20220513 - 070048
23,10000044,CCS DC 175kW (ultra),4,4,20220513 - 070102
24,10000044,CHAdeMO DC 75kW (fast),4,4,20220513 - 070103
25,10000045,,,,20220513 - 070103
26,10000047,CCS DC 175kW (ultra),4,4,20220513 - 070048
27,10000047,CHAdeMO DC 75kW (fast),4,4,20220513 - 070049
28,10000049,CCS DC 175kW (ultra),4,4,20220513 - 070103
29,10000049,CHAdeMO DC 75kW (fast),4,4,20220513 - 070104
30,10000086,CCS DC 175kW (ultra),4,4,20220513 - 070047
31,10000086,CHAdeMO DC 175kW (ultra),4,4,20220513 - 070048
32,10000086,CCS DC 175kW (ultra),4,4,20220513 - 070047
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220513 - 070048
34,10000257,CCS DC 175kW (ultra),1,1,20220513 - 070100
35,10000257,CHAdeMO DC 75kW (fast),1,1,20220513 - 070100
