,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220423 - 222018
1,12320,,,,20220423 - 222018
2,12949,CCS DC 150kW (ultra),11,16,20220423 - 222059
3,12950,CCS DC 150kW (ultra),7,8,20220423 - 222018
4,10000034,CCS DC 175kW (ultra),1,2,20220423 - 222041
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220423 - 222042
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220423 - 222042
7,10000035,CCS DC 270kW (ultra),3,8,20220423 - 222101
8,10000035,CHAdeMO DC 62.5kW (fast),3,4,20220423 - 222101
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220423 - 222101
10,10000036,CCS DC 175kW (ultra),1,4,20220423 - 222018
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220423 - 222018
12,10000037,,,,20220423 - 222018
13,10000038,CCS DC 175kW (ultra),1,2,20220423 - 222100
14,10000038,CHAdeMO DC 75kW (fast),1,2,20220423 - 222101
15,10000039,CCS DC 175kW (ultra),4,4,20220423 - 222018
16,10000039,CHAdeMO DC 75kW (fast),4,4,20220423 - 222018
17,10000040,,,,20220423 - 222018
18,10000041,CCS DC 175kW (ultra),1,3,20220423 - 222059
19,10000041,CHAdeMO DC 75kW (fast),1,3,20220423 - 222101
20,10000042,CCS DC 175kW (ultra),3,3,20220423 - 222018
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220423 - 222018
22,10000043,CCS DC 175kW (ultra),4,4,20220423 - 222041
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220423 - 222042
24,10000044,CCS DC 175kW (ultra),4,4,20220423 - 222101
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220423 - 222101
26,10000045,CCS DC 150kW (ultra),0,2,20220423 - 222018
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220423 - 222018
28,10000047,CCS DC 175kW (ultra),4,4,20220423 - 222041
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220423 - 222042
30,10000049,CCS DC 175kW (ultra),4,4,20220423 - 222101
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220423 - 222101
32,10000086,CCS DC 175kW (ultra),4,4,20220423 - 222041
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220423 - 222042
34,10000086,CCS DC 175kW (ultra),4,4,20220423 - 222041
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220423 - 222042
36,10000257,CCS DC 175kW (ultra),1,1,20220423 - 222101
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220423 - 222101
