,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220515 - 162020
1,12320,CCS DC 150kW (ultra),0,4,20220515 - 162039
2,12949,CCS DC 150kW (ultra),2,16,20220515 - 162057
3,12950,CCS DC 150kW (ultra),8,8,20220515 - 162021
4,10000034,CCS DC 175kW (ultra),2,2,20220515 - 162039
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220515 - 162040
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220515 - 162043
7,10000035,CCS DC 270kW (ultra),1,8,20220515 - 162059
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220515 - 162100
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220515 - 162100
10,10000036,CCS DC 175kW (ultra),4,4,20220515 - 162019
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220515 - 162021
12,10000037,CCS DC 175kW (ultra),2,2,20220515 - 162044
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220515 - 162046
14,10000038,CCS DC 175kW (ultra),1,2,20220515 - 162105
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220515 - 162105
16,10000039,CCS DC 175kW (ultra),4,4,20220515 - 162025
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220515 - 162026
18,10000040,,,,20220515 - 162026
19,10000041,CCS DC 175kW (ultra),2,3,20220515 - 162104
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220515 - 162105
21,10000042,CCS DC 175kW (ultra),3,3,20220515 - 162025
22,10000042,CHAdeMO DC 75kW (fast),3,3,20220515 - 162026
23,10000043,CCS DC 175kW (ultra),4,4,20220515 - 162049
24,10000043,CHAdeMO DC 75kW (fast),4,4,20220515 - 162050
25,10000044,CCS DC 175kW (ultra),4,4,20220515 - 162107
26,10000044,CHAdeMO DC 75kW (fast),4,4,20220515 - 162107
27,10000045,CCS DC 150kW (ultra),0,2,20220515 - 162019
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220515 - 162021
29,10000047,CCS DC 175kW (ultra),4,4,20220515 - 162039
30,10000047,CHAdeMO DC 75kW (fast),4,4,20220515 - 162040
31,10000049,,,,20220515 - 162040
32,10000086,CCS DC 175kW (ultra),4,4,20220515 - 162019
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220515 - 162021
34,10000086,CCS DC 175kW (ultra),4,4,20220515 - 162019
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220515 - 162021
36,10000257,CCS DC 175kW (ultra),1,1,20220515 - 162059
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220515 - 162059
