,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),0,4,20220514 - 183020
1,12320,CCS DC 150kW (ultra),0,4,20220514 - 183041
2,12949,CCS DC 150kW (ultra),8,16,20220514 - 183059
3,12950,CCS DC 150kW (ultra),8,8,20220514 - 183021
4,10000034,CCS DC 175kW (ultra),2,2,20220514 - 183042
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220514 - 183043
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220514 - 183044
7,10000035,CCS DC 270kW (ultra),1,8,20220514 - 183100
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220514 - 183101
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220514 - 183101
10,10000036,CCS DC 175kW (ultra),4,4,20220514 - 183020
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220514 - 183021
12,10000037,CCS DC 175kW (ultra),2,2,20220514 - 183043
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220514 - 183043
14,10000038,CCS DC 175kW (ultra),1,2,20220514 - 183059
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220514 - 183100
16,10000039,CCS DC 175kW (ultra),4,4,20220514 - 183020
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220514 - 183020
18,10000040,,,,20220514 - 183020
19,10000041,,,,20220514 - 183020
20,10000042,CCS DC 175kW (ultra),3,3,20220514 - 183025
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220514 - 183026
22,10000043,CCS DC 175kW (ultra),4,4,20220514 - 183047
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220514 - 183048
24,10000044,CCS DC 175kW (ultra),4,4,20220514 - 183104
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220514 - 183104
26,10000045,CCS DC 150kW (ultra),0,2,20220514 - 183020
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220514 - 183022
28,10000047,CCS DC 175kW (ultra),4,4,20220514 - 183043
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220514 - 183044
30,10000049,CCS DC 175kW (ultra),4,4,20220514 - 183100
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220514 - 183100
32,10000086,CCS DC 175kW (ultra),4,4,20220514 - 183043
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220514 - 183044
34,10000086,CCS DC 175kW (ultra),4,4,20220514 - 183043
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220514 - 183044
36,10000257,CCS DC 175kW (ultra),1,1,20220514 - 183102
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220514 - 183103
