,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220427 - 124024
1,12320,CCS DC 150kW (ultra),0,4,20220427 - 124045
2,12949,,,,20220427 - 124045
3,12950,CCS DC 150kW (ultra),5,8,20220427 - 124024
4,10000034,CCS DC 175kW (ultra),0,2,20220427 - 124045
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220427 - 124046
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220427 - 124046
7,10000035,CCS DC 270kW (ultra),3,8,20220427 - 124106
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220427 - 124106
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220427 - 124106
10,10000036,,,,20220427 - 124106
11,10000037,CCS DC 175kW (ultra),1,2,20220427 - 124045
12,10000037,CHAdeMO DC 75kW (fast),1,2,20220427 - 124045
13,10000038,CCS DC 175kW (ultra),0,2,20220427 - 124103
14,10000038,CHAdeMO DC 75kW (fast),0,2,20220427 - 124104
15,10000039,CCS DC 175kW (ultra),2,4,20220427 - 124024
16,10000039,CHAdeMO DC 75kW (fast),2,4,20220427 - 124025
17,10000040,CCS DC 175kW (ultra),3,3,20220427 - 124046
18,10000040,CHAdeMO DC 75kW (fast),3,3,20220427 - 124049
19,10000041,CCS DC 175kW (ultra),2,3,20220427 - 124106
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220427 - 124106
21,10000042,CCS DC 175kW (ultra),2,3,20220427 - 124024
22,10000042,CHAdeMO DC 75kW (fast),2,3,20220427 - 124026
23,10000043,CCS DC 175kW (ultra),3,4,20220427 - 124045
24,10000043,CHAdeMO DC 75kW (fast),3,4,20220427 - 124046
25,10000044,CCS DC 175kW (ultra),4,4,20220427 - 124103
26,10000044,CHAdeMO DC 75kW (fast),4,4,20220427 - 124105
27,10000045,CCS DC 150kW (ultra),0,2,20220427 - 124029
28,10000045,Type 2 AC 7.36kW (regular),0,1,20220427 - 124031
29,10000047,,,,20220427 - 124031
30,10000049,CCS DC 175kW (ultra),4,4,20220427 - 124105
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220427 - 124106
32,10000086,CCS DC 175kW (ultra),4,4,20220427 - 124050
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220427 - 124051
34,10000086,CCS DC 175kW (ultra),4,4,20220427 - 124050
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220427 - 124051
36,10000257,,,,20220427 - 124051
