,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220516 - 173030
1,12320,CCS DC 150kW (ultra),3,4,20220516 - 173050
2,12949,CCS DC 150kW (ultra),6,16,20220516 - 173111
3,12950,CCS DC 150kW (ultra),7,8,20220516 - 173025
4,10000034,CCS DC 175kW (ultra),1,2,20220516 - 173050
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220516 - 173051
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220516 - 173053
7,10000035,,,,20220516 - 173053
8,10000036,CCS DC 175kW (ultra),3,4,20220516 - 173025
9,10000036,CHAdeMO DC 75kW (fast),3,4,20220516 - 173027
10,10000037,,,,20220516 - 173027
11,10000038,CCS DC 175kW (ultra),0,2,20220516 - 173110
12,10000038,CHAdeMO DC 75kW (fast),0,2,20220516 - 173111
13,10000039,CCS DC 175kW (ultra),2,4,20220516 - 173027
14,10000039,CHAdeMO DC 75kW (fast),2,4,20220516 - 173030
15,10000040,CCS DC 175kW (ultra),3,3,20220516 - 173050
16,10000040,CHAdeMO DC 75kW (fast),3,3,20220516 - 173051
17,10000041,CCS DC 175kW (ultra),2,3,20220516 - 173111
18,10000041,CHAdeMO DC 75kW (fast),2,3,20220516 - 173111
19,10000042,CCS DC 175kW (ultra),0,3,20220516 - 173025
20,10000042,CHAdeMO DC 75kW (fast),0,3,20220516 - 173027
21,10000043,,,,20220516 - 173027
22,10000044,CCS DC 175kW (ultra),4,4,20220516 - 173111
23,10000044,CHAdeMO DC 75kW (fast),4,4,20220516 - 173111
24,10000045,CCS DC 150kW (ultra),0,2,20220516 - 173030
25,10000045,Type 2 AC 7.36kW (regular),0,1,20220516 - 173031
26,10000047,CCS DC 175kW (ultra),2,4,20220516 - 173055
27,10000047,CHAdeMO DC 75kW (fast),2,4,20220516 - 173056
28,10000049,CCS DC 175kW (ultra),4,4,20220516 - 173113
29,10000049,CHAdeMO DC 75kW (fast),4,4,20220516 - 173113
30,10000086,CCS DC 175kW (ultra),4,4,20220516 - 173050
31,10000086,CHAdeMO DC 175kW (ultra),4,4,20220516 - 173051
32,10000086,CCS DC 175kW (ultra),4,4,20220516 - 173050
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220516 - 173051
34,10000257,CCS DC 175kW (ultra),0,1,20220516 - 173112
35,10000257,CHAdeMO DC 75kW (fast),0,1,20220516 - 173112
