,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220516 - 162026
1,12320,CCS DC 150kW (ultra),0,4,20220516 - 162048
2,12949,,,,20220516 - 162048
3,12950,CCS DC 150kW (ultra),6,8,20220516 - 162023
4,10000034,CCS DC 175kW (ultra),2,2,20220516 - 162043
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220516 - 162044
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220516 - 162048
7,10000035,CCS DC 270kW (ultra),6,8,20220516 - 162107
8,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220516 - 162108
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220516 - 162108
10,10000036,CCS DC 175kW (ultra),1,4,20220516 - 162023
11,10000036,CHAdeMO DC 75kW (fast),1,4,20220516 - 162027
12,10000037,,,,20220516 - 162027
13,10000038,,,,20220516 - 162027
14,10000039,CCS DC 175kW (ultra),2,4,20220516 - 162023
15,10000039,CHAdeMO DC 75kW (fast),2,4,20220516 - 162023
16,10000040,CCS DC 175kW (ultra),3,3,20220516 - 162043
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220516 - 162044
18,10000041,CCS DC 175kW (ultra),1,3,20220516 - 162105
19,10000041,CHAdeMO DC 75kW (fast),1,3,20220516 - 162107
20,10000042,CCS DC 175kW (ultra),2,3,20220516 - 162032
21,10000042,CHAdeMO DC 75kW (fast),2,3,20220516 - 162036
22,10000043,CCS DC 175kW (ultra),3,4,20220516 - 162052
23,10000043,CHAdeMO DC 75kW (fast),3,4,20220516 - 162053
24,10000044,CCS DC 175kW (ultra),2,4,20220516 - 162108
25,10000044,CHAdeMO DC 75kW (fast),2,4,20220516 - 162108
26,10000045,CCS DC 150kW (ultra),0,2,20220516 - 162022
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220516 - 162023
28,10000047,CCS DC 175kW (ultra),4,4,20220516 - 162043
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220516 - 162045
30,10000049,CCS DC 175kW (ultra),4,4,20220516 - 162108
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220516 - 162108
32,10000086,CCS DC 175kW (ultra),4,4,20220516 - 162023
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220516 - 162024
34,10000086,CCS DC 175kW (ultra),4,4,20220516 - 162023
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220516 - 162024
36,10000257,,,,20220516 - 162024
