,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220523 - 073025
1,12320,CCS DC 150kW (ultra),0,4,20220523 - 073048
2,12949,,,,20220523 - 073048
3,12950,CCS DC 150kW (ultra),5,8,20220523 - 073021
4,10000034,CCS DC 175kW (ultra),2,2,20220523 - 073045
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220523 - 073047
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220523 - 073048
7,10000035,,,,20220523 - 073048
8,10000036,CCS DC 175kW (ultra),3,4,20220523 - 073024
9,10000036,CHAdeMO DC 75kW (fast),3,4,20220523 - 073025
10,10000037,CCS DC 175kW (ultra),0,2,20220523 - 073048
11,10000037,CHAdeMO DC 75kW (fast),0,2,20220523 - 073049
12,10000038,CCS DC 175kW (ultra),0,2,20220523 - 073106
13,10000038,CHAdeMO DC 75kW (fast),0,2,20220523 - 073106
14,10000039,,,,20220523 - 073106
15,10000040,,,,20220523 - 073106
16,10000041,CCS DC 175kW (ultra),2,3,20220523 - 073107
17,10000041,CHAdeMO DC 75kW (fast),2,3,20220523 - 073107
18,10000042,CCS DC 175kW (ultra),1,3,20220523 - 073022
19,10000042,CHAdeMO DC 75kW (fast),1,3,20220523 - 073024
20,10000043,CCS DC 175kW (ultra),4,4,20220523 - 073045
21,10000043,CHAdeMO DC 75kW (fast),4,4,20220523 - 073047
22,10000044,,,,20220523 - 073047
23,10000045,CCS DC 150kW (ultra),0,2,20220523 - 073026
24,10000045,Type 2 AC 7.36kW (regular),0,1,20220523 - 073030
25,10000047,CCS DC 175kW (ultra),4,4,20220523 - 073048
26,10000047,CHAdeMO DC 75kW (fast),4,4,20220523 - 073049
27,10000049,,,,20220523 - 073049
28,10000086,CCS DC 175kW (ultra),4,4,20220523 - 073045
29,10000086,CHAdeMO DC 175kW (ultra),4,4,20220523 - 073047
30,10000086,CCS DC 175kW (ultra),4,4,20220523 - 073045
31,10000086,CHAdeMO DC 175kW (ultra),4,4,20220523 - 073047
32,10000257,CCS DC 175kW (ultra),1,1,20220523 - 073106
33,10000257,CHAdeMO DC 75kW (fast),1,1,20220523 - 073107
