,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),4,4,20220513 - 071029
1,12320,,,,20220513 - 071029
2,12949,CCS DC 150kW (ultra),11,16,20220513 - 071105
3,12950,CCS DC 150kW (ultra),6,8,20220513 - 071023
4,10000034,CCS DC 175kW (ultra),2,2,20220513 - 071043
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220513 - 071043
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220513 - 071046
7,10000035,CCS DC 270kW (ultra),1,8,20220513 - 071104
8,10000035,CHAdeMO DC 62.5kW (fast),2,4,20220513 - 071104
9,10000035,Type 2 AC 7.36kW (regular),0,1,20220513 - 071105
10,10000036,CCS DC 175kW (ultra),4,4,20220513 - 071021
11,10000036,CHAdeMO DC 75kW (fast),4,4,20220513 - 071022
12,10000037,CCS DC 175kW (ultra),2,2,20220513 - 071043
13,10000037,CHAdeMO DC 75kW (fast),2,2,20220513 - 071044
14,10000038,CCS DC 175kW (ultra),1,2,20220513 - 071103
15,10000038,CHAdeMO DC 75kW (fast),1,2,20220513 - 071104
16,10000039,CCS DC 175kW (ultra),4,4,20220513 - 071022
17,10000039,CHAdeMO DC 75kW (fast),4,4,20220513 - 071022
18,10000040,,,,20220513 - 071022
19,10000041,CCS DC 175kW (ultra),2,3,20220513 - 071105
20,10000041,CHAdeMO DC 75kW (fast),2,3,20220513 - 071105
21,10000042,CCS DC 175kW (ultra),3,3,20220513 - 071028
22,10000042,CHAdeMO DC 75kW (fast),3,3,20220513 - 071029
23,10000043,CCS DC 175kW (ultra),4,4,20220513 - 071049
24,10000043,CHAdeMO DC 75kW (fast),4,4,20220513 - 071049
25,10000044,,,,20220513 - 071049
26,10000045,CCS DC 150kW (ultra),0,2,20220513 - 071021
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220513 - 071022
28,10000047,CCS DC 175kW (ultra),4,4,20220513 - 071043
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220513 - 071044
30,10000049,CCS DC 175kW (ultra),4,4,20220513 - 071103
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220513 - 071104
32,10000086,CCS DC 175kW (ultra),4,4,20220513 - 071042
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220513 - 071043
34,10000086,CCS DC 175kW (ultra),4,4,20220513 - 071042
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220513 - 071043
36,10000257,CCS DC 175kW (ultra),1,1,20220513 - 071103
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220513 - 071104
