,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220520 - 001026
1,12320,,,,20220520 - 001026
2,12949,CCS DC 150kW (ultra),16,16,20220520 - 001105
3,12950,CCS DC 150kW (ultra),8,8,20220520 - 001025
4,10000034,,,,20220520 - 001025
5,10000035,CCS DC 270kW (ultra),6,8,20220520 - 001106
6,10000035,CHAdeMO DC 62.5kW (fast),4,4,20220520 - 001107
7,10000035,Type 2 AC 7.36kW (regular),0,1,20220520 - 001107
8,10000036,CCS DC 175kW (ultra),4,4,20220520 - 001025
9,10000036,CHAdeMO DC 75kW (fast),4,4,20220520 - 001029
10,10000037,CCS DC 175kW (ultra),1,2,20220520 - 001049
11,10000037,CHAdeMO DC 75kW (fast),1,2,20220520 - 001049
12,10000038,CCS DC 175kW (ultra),2,2,20220520 - 001107
13,10000038,CHAdeMO DC 75kW (fast),2,2,20220520 - 001107
14,10000039,CCS DC 175kW (ultra),4,4,20220520 - 001029
15,10000039,CHAdeMO DC 75kW (fast),4,4,20220520 - 001030
16,10000040,CCS DC 175kW (ultra),3,3,20220520 - 001049
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220520 - 001049
18,10000041,CCS DC 175kW (ultra),2,3,20220520 - 001107
19,10000041,CHAdeMO DC 75kW (fast),2,3,20220520 - 001107
20,10000042,CCS DC 175kW (ultra),3,3,20220520 - 001024
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220520 - 001025
22,10000043,CCS DC 175kW (ultra),4,4,20220520 - 001048
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220520 - 001049
24,10000044,CCS DC 175kW (ultra),4,4,20220520 - 001107
25,10000044,CHAdeMO DC 75kW (fast),4,4,20220520 - 001107
26,10000045,CCS DC 150kW (ultra),0,2,20220520 - 001025
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220520 - 001025
28,10000047,,,,20220520 - 001025
29,10000049,,,,20220520 - 001025
30,10000086,,,,20220520 - 001025
31,10000086,,,,20220520 - 001025
32,10000257,CCS DC 175kW (ultra),0,1,20220520 - 001106
33,10000257,CHAdeMO DC 75kW (fast),0,1,20220520 - 001107
