,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),3,4,20220515 - 202024
1,12320,CCS DC 150kW (ultra),3,4,20220515 - 202045
2,12949,CCS DC 150kW (ultra),2,16,20220515 - 202106
3,12950,CCS DC 150kW (ultra),6,8,20220515 - 202023
4,10000034,CCS DC 175kW (ultra),2,2,20220515 - 202045
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220515 - 202046
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220515 - 202047
7,10000035,,,,20220515 - 202047
8,10000036,,,,20220515 - 202047
9,10000037,CCS DC 175kW (ultra),2,2,20220515 - 202048
10,10000037,CHAdeMO DC 75kW (fast),2,2,20220515 - 202049
11,10000038,CCS DC 175kW (ultra),1,2,20220515 - 202106
12,10000038,CHAdeMO DC 75kW (fast),1,2,20220515 - 202107
13,10000039,CCS DC 175kW (ultra),4,4,20220515 - 202024
14,10000039,CHAdeMO DC 75kW (fast),4,4,20220515 - 202026
15,10000040,CCS DC 175kW (ultra),3,3,20220515 - 202046
16,10000040,CHAdeMO DC 75kW (fast),3,3,20220515 - 202047
17,10000041,CCS DC 175kW (ultra),2,3,20220515 - 202106
18,10000041,CHAdeMO DC 75kW (fast),2,3,20220515 - 202106
19,10000042,CCS DC 175kW (ultra),3,3,20220515 - 202029
20,10000042,CHAdeMO DC 75kW (fast),3,3,20220515 - 202030
21,10000043,CCS DC 175kW (ultra),4,4,20220515 - 202049
22,10000043,CHAdeMO DC 75kW (fast),4,4,20220515 - 202050
23,10000044,CCS DC 175kW (ultra),4,4,20220515 - 202107
24,10000044,CHAdeMO DC 75kW (fast),4,4,20220515 - 202107
25,10000045,CCS DC 150kW (ultra),0,2,20220515 - 202014
26,10000045,Type 2 AC 7.36kW (regular),0,1,20220515 - 202018
27,10000047,,,,20220515 - 202018
28,10000049,CCS DC 175kW (ultra),4,4,20220515 - 202106
29,10000049,CHAdeMO DC 75kW (fast),4,4,20220515 - 202106
30,10000086,CCS DC 175kW (ultra),4,4,20220515 - 202049
31,10000086,CHAdeMO DC 175kW (ultra),4,4,20220515 - 202049
32,10000086,CCS DC 175kW (ultra),4,4,20220515 - 202049
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220515 - 202049
34,10000257,CCS DC 175kW (ultra),1,1,20220515 - 202107
35,10000257,CHAdeMO DC 75kW (fast),1,1,20220515 - 202107
