,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220522 - 115011
1,12320,CCS DC 150kW (ultra),3,4,20220522 - 115039
2,12949,CCS DC 150kW (ultra),13,16,20220522 - 115054
3,12950,CCS DC 150kW (ultra),7,8,20220522 - 115017
4,10000034,CCS DC 175kW (ultra),1,2,20220522 - 115041
5,10000034,CHAdeMO DC 75kW (fast),1,1,20220522 - 115042
6,10000034,CHAdeMO DC 175kW (ultra),0,1,20220522 - 115045
7,10000035,,,,20220522 - 115045
8,10000036,CCS DC 175kW (ultra),0,4,20220522 - 115025
9,10000036,CHAdeMO DC 75kW (fast),0,4,20220522 - 115026
10,10000037,CCS DC 175kW (ultra),0,2,20220522 - 115054
11,10000037,CHAdeMO DC 75kW (fast),0,2,20220522 - 115054
12,10000038,CCS DC 175kW (ultra),0,2,20220522 - 115106
13,10000038,CHAdeMO DC 75kW (fast),0,2,20220522 - 115106
14,10000039,CCS DC 175kW (ultra),2,4,20220522 - 115024
15,10000039,CHAdeMO DC 75kW (fast),2,4,20220522 - 115025
16,10000040,CCS DC 175kW (ultra),3,3,20220522 - 115053
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220522 - 115054
18,10000041,CCS DC 175kW (ultra),1,3,20220522 - 115105
19,10000041,CHAdeMO DC 75kW (fast),1,3,20220522 - 115105
20,10000042,CCS DC 175kW (ultra),2,3,20220522 - 115017
21,10000042,CHAdeMO DC 75kW (fast),2,3,20220522 - 115018
22,10000043,CCS DC 175kW (ultra),4,4,20220522 - 115040
23,10000043,CHAdeMO DC 75kW (fast),4,4,20220522 - 115041
24,10000044,CCS DC 175kW (ultra),0,4,20220522 - 115058
25,10000044,CHAdeMO DC 75kW (fast),0,4,20220522 - 115058
26,10000045,CCS DC 150kW (ultra),0,2,20220522 - 115024
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220522 - 115025
28,10000047,CCS DC 175kW (ultra),4,4,20220522 - 115042
29,10000047,CHAdeMO DC 75kW (fast),4,4,20220522 - 115044
30,10000049,CCS DC 175kW (ultra),4,4,20220522 - 115102
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220522 - 115102
32,10000086,CCS DC 175kW (ultra),4,4,20220522 - 115041
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220522 - 115042
34,10000086,CCS DC 175kW (ultra),4,4,20220522 - 115041
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220522 - 115042
36,10000257,CCS DC 175kW (ultra),1,1,20220522 - 115058
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220522 - 115058
