,Id,Charger_type,Available,Total,timestamp
0,11514,CCS DC 150kW (ultra),2,4,20220412 - 093014
1,12320,CCS DC 150kW (ultra),4,4,20220412 - 093018
2,12949,CCS DC 150kW (ultra),8,16,20220412 - 093026
3,12950,CCS DC 150kW (ultra),6,8,20220412 - 093015
4,10000034,CCS DC 175kW (ultra),1,2,20220412 - 093022
5,10000034,CHAdeMO DC 75kW (fast),0,1,20220412 - 093022
6,10000034,CHAdeMO DC 175kW (ultra),1,1,20220412 - 093022
7,10000035,,,,20220412 - 093022
8,10000036,CCS DC 175kW (ultra),1,4,20220412 - 093015
9,10000036,CHAdeMO DC 75kW (fast),1,4,20220412 - 093015
10,10000037,CCS DC 175kW (ultra),2,2,20220412 - 093021
11,10000037,CHAdeMO DC 75kW (fast),2,2,20220412 - 093021
12,10000038,CCS DC 175kW (ultra),1,2,20220412 - 093026
13,10000038,CHAdeMO DC 75kW (fast),1,2,20220412 - 093026
14,10000039,CCS DC 175kW (ultra),3,4,20220412 - 093016
15,10000039,CHAdeMO DC 75kW (fast),3,4,20220412 - 093016
16,10000040,CCS DC 175kW (ultra),3,3,20220412 - 093027
17,10000040,CHAdeMO DC 75kW (fast),3,3,20220412 - 093027
18,10000041,CCS DC 175kW (ultra),4,4,20220412 - 093030
19,10000041,CHAdeMO DC 75kW (fast),4,4,20220412 - 093030
20,10000042,CCS DC 175kW (ultra),3,3,20220412 - 093015
21,10000042,CHAdeMO DC 75kW (fast),3,3,20220412 - 093015
22,10000043,CCS DC 175kW (ultra),3,4,20220412 - 093022
23,10000043,CHAdeMO DC 75kW (fast),3,4,20220412 - 093022
24,10000044,CCS DC 175kW (ultra),1,4,20220412 - 093027
25,10000044,CHAdeMO DC 75kW (fast),1,4,20220412 - 093027
26,10000045,CCS DC 150kW (ultra),0,2,20220412 - 093015
27,10000045,Type 2 AC 7.36kW (regular),0,1,20220412 - 093015
28,10000047,CCS DC 175kW (ultra),2,4,20220412 - 093021
29,10000047,CHAdeMO DC 75kW (fast),2,4,20220412 - 093021
30,10000049,CCS DC 175kW (ultra),4,4,20220412 - 093027
31,10000049,CHAdeMO DC 75kW (fast),4,4,20220412 - 093027
32,10000086,CCS DC 175kW (ultra),4,4,20220412 - 093021
33,10000086,CHAdeMO DC 175kW (ultra),4,4,20220412 - 093021
34,10000086,CCS DC 175kW (ultra),4,4,20220412 - 093021
35,10000086,CHAdeMO DC 175kW (ultra),4,4,20220412 - 093021
36,10000257,CCS DC 175kW (ultra),1,1,20220412 - 093026
37,10000257,CHAdeMO DC 75kW (fast),1,1,20220412 - 093027
